Brand,RAM,Storage,Camera,Battery,Display,Age,Price
Xiaomi,8,256,32,4569,6.6,2,21126
Xiaomi,6,256,48,4160,6.2,1,27750
Realme,8,128,32,5902,6.6,4,14668
Oppo,6,64,32,5887,6.8,0,31600
Samsung,4,256,108,5454,6.1,0,44400
Apple,8,128,16,5565,6.3,3,50119
Asus,6,256,64,5697,6.6,3,18944
Oppo,4,128,16,5609,6.8,3,8103
OnePlus,4,256,48,3789,6.8,4,13340
Samsung,8,128,108,5586,6.8,5,21905
Samsung,6,64,64,3830,6.6,3,26797
Oppo,4,256,64,5836,6.8,1,25244
Oppo,4,256,32,5138,6.3,2,17980
Vivo,4,256,64,3787,6.5,4,12564
Realme,6,64,16,5480,6.5,3,8442
Asus,4,64,48,5680,6.6,3,21622
Vivo,6,64,32,3829,6.1,4,5260
Realme,12,256,12,4644,6.7,4,14588
Oppo,6,128,108,5658,6.3,4,10396
Realme,12,256,12,4137,6.5,1,27614
Xiaomi,8,64,48,3603,6.5,0,35400
OnePlus,12,128,64,3991,6.9,5,26710
Xiaomi,4,256,32,4743,6.2,0,30600
Apple,12,256,16,3936,6.5,3,60329
Realme,4,128,12,5607,6.9,4,5000
Xiaomi,4,64,108,5171,6.6,4,16576
Realme,12,64,16,4096,6.6,2,26270
Xiaomi,6,128,108,3522,6.2,2,22614
OnePlus,12,64,32,4428,6.2,0,45600
Oppo,12,256,32,4661,6.6,4,16664
Oppo,12,128,64,5888,6.8,4,16248
OnePlus,4,256,64,5000,6.1,0,39200
OnePlus,8,256,108,3974,6.4,5,25395
Realme,12,256,48,4993,6.3,1,29778
Vivo,6,64,48,4274,6.2,4,7584
Apple,4,128,12,4817,6.7,4,41216
Apple,4,256,108,3610,6.5,5,39405
Realme,12,64,12,4472,6.6,0,34600
Realme,6,64,108,4223,6.7,3,20473
Vivo,12,256,64,5518,6.1,5,5710
Realme,12,128,12,3593,6.4,0,34600
Apple,12,64,32,4391,6.6,1,67351
Samsung,12,128,32,4029,6.3,0,48600
Asus,8,64,16,4564,6.4,5,6850
Oppo,12,256,108,5406,6.6,4,21244
Samsung,6,128,12,4102,6.1,2,29990
Realme,4,64,108,5506,6.5,4,15240
Samsung,8,256,32,4595,6.5,3,24704
Vivo,12,256,12,5498,6.4,0,35600
Asus,8,128,108,3955,6.3,2,31208
Xiaomi,8,256,12,4363,6.2,0,33600
Vivo,12,256,108,3617,6.4,2,27830
Asus,12,128,16,5544,6.7,0,42800
Vivo,12,64,16,3580,6.8,3,19537
Vivo,6,128,32,5669,6.6,5,10490
Xiaomi,12,64,64,4033,6.3,3,20265
Apple,8,64,108,3644,6.7,3,61148
OnePlus,12,256,32,4331,6.4,3,31404
OnePlus,6,64,16,5145,6.6,1,32260
Apple,12,256,32,5859,6.2,4,53036
Vivo,8,256,16,4969,6.5,3,10950
Samsung,6,64,48,4097,6.2,3,26429
Xiaomi,8,256,12,4611,6.3,3,19854
OnePlus,4,64,64,3657,6.7,4,22700
Asus,6,64,16,4471,6.3,0,36800
Samsung,12,256,108,5007,6.2,1,45697
Xiaomi,6,256,48,3624,6.7,0,33400
Realme,4,128,48,5637,6.9,3,15023
Xiaomi,12,256,48,4468,6.3,1,34259
Oppo,4,256,48,3686,6.6,2,20194
Samsung,6,256,64,4608,6.6,5,20020
Asus,8,256,12,4176,6.7,3,25529
Apple,6,256,108,5037,6.1,2,62692
Xiaomi,8,128,12,4863,6.3,2,22104
Xiaomi,12,128,16,3988,6.8,0,37800
Vivo,4,256,12,5210,6.6,1,23334
Realme,4,256,16,5935,6.2,0,26800
OnePlus,4,64,108,3680,6.2,1,35198
Vivo,6,256,32,4093,6.5,5,10305
Asus,8,256,16,3839,6.2,3,25048
Asus,4,64,64,5403,6.2,2,25604
Vivo,4,128,48,3554,6.5,5,5695
Asus,6,128,64,5297,6.7,5,8435
Samsung,12,256,32,3625,6.3,5,18150
Vivo,4,64,64,3776,6.5,1,25808
Apple,8,128,32,4639,6.5,5,46685
Xiaomi,6,256,64,4569,6.5,1,27512
Oppo,12,128,48,4960,6.4,0,38400
Realme,4,128,16,5447,6.6,1,21326
Realme,4,128,48,3949,6.5,4,8896
Oppo,6,64,64,5795,6.5,3,17420
Vivo,12,128,32,4839,6.7,0,36600
OnePlus,12,256,12,5454,6.4,4,17740
Oppo,4,64,108,5870,6.2,2,24066
Samsung,8,128,64,4238,6.4,2,37568
Oppo,6,256,12,5567,6.5,1,24033
Vivo,4,64,48,3959,6.3,1,23234
Vivo,4,128,64,5740,6.8,5,6435
Asus,12,64,108,4671,6.5,2,36026
Oppo,8,64,32,5394,6.9,4,8708
Apple,6,128,32,4992,6.5,3,47395
OnePlus,8,64,64,5774,6.3,3,30294
Oppo,12,64,108,4827,6.8,5,17800
Apple,4,128,16,4333,6.6,0,64800
Vivo,6,64,48,4118,6.1,4,13028
Oppo,12,256,108,4001,6.3,0,41400
Apple,12,64,64,4161,6.3,5,52875
Xiaomi,6,256,108,5043,6.7,4,11524
Realme,4,64,64,5933,6.7,5,5000
Xiaomi,6,64,48,3779,6.7,0,33400
Apple,12,64,16,5008,6.6,2,60564
Xiaomi,6,64,32,5483,6.7,1,26363
Samsung,12,128,32,3796,6.7,5,25980
Realme,8,64,32,5123,6.7,4,9128
Oppo,4,256,16,3893,6.5,2,16832
OnePlus,8,64,16,5619,6.5,3,20922
Apple,12,256,16,4059,6.1,5,38765
Asus,4,64,108,4207,6.1,0,39400
OnePlus,12,64,64,3847,6.3,1,40868
Realme,4,64,16,4935,6.6,2,16522
OnePlus,12,128,16,3764,6.5,3,23878
Realme,6,256,64,5478,6.7,2,17512
OnePlus,8,256,48,4061,6.5,5,19980
Oppo,12,128,32,4069,6.5,1,32551
Vivo,12,256,16,4708,6.4,2,24058
Xiaomi,8,256,12,5264,6.4,5,10925
Realme,8,256,12,4809,6.2,4,9700
Vivo,8,128,16,5571,6.3,4,15408
Xiaomi,6,128,16,5373,6.5,2,17880
Samsung,4,256,64,5158,6.9,3,28022
Apple,4,256,16,4729,6.5,3,46059
Realme,6,256,12,5184,6.3,3,8158
OnePlus,12,256,48,4523,6.6,1,41511
